公司全名,公司规模,职位名称,薪资水平,工作经验,学历要求,区域,职位福利,工作年限,经验,salary,月工资
途家网,500-2000人,测试开发工程师,18k-35k,1-3年,本科,朝阳区,"六险一金,部门旅游,晋升空间,行业独角兽","['1', '3']",2.0,"['18', '35']",22.25
理财魔方,50-150人,测试开发工程师,8k-15k,不限,本科,海淀区,"大数据,自动化,牛人团队",[],0.0,"['8', '15']",9.75
京东数字科技,2000人以上,高级测试开发工程师,15k-30k,3-5年,本科,大兴区,"班车,餐补","['3', '5']",4.0,"['15', '30']",18.75
中公教育,2000人以上,高级测试开发工程师,15k-30k,5-10年,本科,海淀区,"平台大,前景好","['5', '10']",7.5,"['15', '30']",18.75
汽车之家,2000人以上,测试开发高级工程师,20k-35k,5-10年,本科,海淀区,"平台大,福利优渥","['5', '10']",7.5,"['20', '35']",23.75
REDEFINE,150-500人,测试开发工程师,15k-30k,3-5年,不限,朝阳区,六险一金，期权，行业大牛，出海项目,"['3', '5']",4.0,"['15', '30']",18.75
51VV,150-500人,测试开发工程师,18k-35k,3-5年,本科,朝阳区,"大牛多,技术氛围强,平台靠谱,福利不错呢","['3', '5']",4.0,"['18', '35']",22.25
百度,2000人以上,AI测试部_测试开发工程师,19k-25k,1-3年,本科,海淀区,福利待遇好，班车,"['1', '3']",2.0,"['19', '25']",20.5
每日优鲜,500-2000人,测试开发工程师,25k-35k,3-5年,本科,朝阳区,领导nice、发展空间大,"['3', '5']",4.0,"['25', '35']",27.5
包银消费金融,150-500人,测试开发工程师(J10157),10k-20k,3-5年,本科,朝阳区,"六险一金,年终奖,节日福利","['3', '5']",4.0,"['10', '20']",12.5
退思科技,50-150人,测试开发工程师,20k-40k,3-5年,本科,海淀区,薪资待遇,"['3', '5']",4.0,"['20', '40']",25.0
乐融集团,2000人以上,移动测试开发工程师,16k-24k,3-5年,本科,朝阳区,午餐补助、交通补助、通讯补助、免费加班餐,"['3', '5']",4.0,"['16', '24']",18.0
字节跳动,2000人以上,测试开发工程师-网络方向,20k-40k,3-5年,本科,海淀区,六险一金，高薪期权，免费三餐，租房补贴,"['3', '5']",4.0,"['20', '40']",25.0
京东数字科技,2000人以上,高级测试开发工程师,15k-30k,3-5年,本科,大兴区,"班车,餐补","['3', '5']",4.0,"['15', '30']",18.75
美团点评,2000人以上,测试开发工程师/专家/测试经理,23k-45k,3-5年,本科,朝阳区,"大平台,发展前景","['3', '5']",4.0,"['23', '45']",28.5
云畅游戏,150-500人,测试开发工程师,15k-25k,3-5年,本科,朝阳区,试用期全薪,"['3', '5']",4.0,"['15', '25']",17.5
北京泽石科技有限公司,50-150人,测试开发工程师,8k-15k,1-3年,本科,海淀区,发展前景好，带薪年假，周末双休，通勤方便,"['1', '3']",2.0,"['8', '15']",9.75
FreeWheel,500-2000人,资深测试开发工程师,23k-34k,3-5年,本科,朝阳区,"美资互联网,技术导向,硅谷文化,英文环境","['3', '5']",4.0,"['23', '34']",25.75
奇虎360金融,500-2000人,服务端测试开发工程师,15k-30k,3-5年,不限,朝阳区,优秀团队 优秀项目,"['3', '5']",4.0,"['15', '30']",18.75
卓尔电商集团,500-2000人,测试开发工程师,22k-38k,3-5年,本科,朝阳区,"上市公司,领导好,团队氛围好","['3', '5']",4.0,"['22', '38']",26.0
有赞,2000人以上,测试开发工程师（支付事业部）-北京-00327,15k-30k,3-5年,本科,朝阳区,福利好待遇佳，团队氛围好，有技术大牛,"['3', '5']",4.0,"['15', '30']",18.75
融360,500-2000人,测试开发工程师,21k-30k,1-3年,本科,海淀区,"工作居住证,年终奖,发展空间,福利好","['1', '3']",2.0,"['21', '30']",23.25
北京和风畅想科技有限公司,15-50人,测试开发工程师,20k-40k,1-3年,本科,朝阳区,大牛导师多，学习机会丰富，企业氛围好,"['1', '3']",2.0,"['20', '40']",25.0
茄子快传,150-500人,测试开发工程师,20k-40k,3-5年,不限,海淀区,年底双薪,"['3', '5']",4.0,"['20', '40']",25.0
