所在城市,评论者性别,评论者昵称,猫眼等级,评分,评论日期,评论内容,城市
大连,"('',)",LhK152026551,2,5.0,2018-12-31 21:05:19,很好的文艺片，希望不要被看不懂的大众恶意刷分,大连
武汉,"(1,)",Eee949326564,1,0.5,2018-12-31 21:05:14,吃苹果看了几分钟，眼里都是戏**，我品味是真的有限.,武汉
泉州,"(1,)",A麓山,3,0.5,2018-12-31 21:05:14,全程看不懂在演什么。,泉州
呼和浩特,"('',)",ChU300563059,1,0.5,2018-12-31 21:05:08,看不懂，又臭又长,呼和浩特
恩施,"(1,)",半世流年一世癫ぃ,1,0.5,2018-12-31 21:05:08,垃圾的要死，浪费这么好的电影名！谁看谁后悔,恩施
宁波,"('',)",L_raqis°,3,1.0,2018-12-31 21:05:07,第一部想离场的电影,宁波
嵊州,"(2,)",Ivy,3,0.5,2018-12-31 21:05:04,都不知道在讲什么啦。,嵊州
北京,"('',)",晓静静静静静～～,3,0.5,2018-12-31 21:04:58,太垃圾了。看半天没看懂！,北京
广州,"('',)",闹&腾,2,0.5,2018-12-31 21:04:57,看半小时就走了真的今年最差,广州
昌乐,"('',)",uJV199108942,1,0.5,2018-12-31 21:04:56,超级烂的一部电影，2018年最烂的一部电影,昌乐
铜川,"(2,)",👀丹,1,0.5,2018-12-31 21:04:52,可以半颗星也没有吗？什么鬼？这样的电影免费请的看都觉得浪费时间,铜川
宁波,"(2,)",单小爷,2,1.0,2018-12-31 21:04:44,可能是我看不懂吧，感觉挺烂的,宁波
三河,"('',)",SOa202272649,3,2.5,2018-12-31 21:04:41,看不明白电影到底讲了什么，宣传比电影好多了，如果不是因为跨年这天播，不会去看这个点电影的，情节特别生硬，哪也不连哪，一会梦一会现实的，连角色都分不明白,三河
武汉,"(1,)",知易行难👹,2,1.5,2018-12-31 21:04:41,一脸懵逼看完,武汉
宿迁,"('',)",梧桐树吖,3,0.5,2018-12-31 21:04:41,全程没看懂。。。,宿迁
广汉,"(1,)",Collyady,2,0.5,2018-12-31 21:04:38,全程无聊 不知道讲什么,广汉
桐乡,"('',)",赵19890922,3,0.5,2018-12-31 21:04:34,没有更烂只有最烂,桐乡
东台,"(2,)",文雯有八十一难,2,0.5,2018-12-31 21:04:31,"好无聊的啊
根本第一遍就看不懂
特别烂",东台
保山,"('',)",f笑靥如花的女人,2,1.5,2018-12-31 21:04:29,未免太烂了，这是今年看过最难看的电影了！剧情什么毛,保山
龙泉,"('',)",wjf669001,2,0.5,2018-12-31 21:04:27,不好看，超烂的,龙泉
辛集,"('',)",Pcj678411001,2,1.5,2018-12-31 21:04:26,看不懂，没意思啊,辛集
上海,"(2,)",wSJ157078244,1,1.0,2018-12-31 21:04:26,根本不知道在演什么,上海
福州,"('',)",早安！紫外线,2,0.5,2018-12-31 21:04:23,靠的是片名吧，烂,福州
西安,"('',)",白白19880713,1,3.0,2018-12-31 21:04:23,这三分是给汤唯的，我现在正在电影院看，这部电影，宣传很到位，很多人在跨年夜看这部片子，我和老公在一起看，他在玩手机，如果是2d还可以看下去，3d看起来费眼睛，瞌睡，好多人在后面说，看不懂，不好看。,西安
太原,"('',)",Frk890220824,2,0.5,2018-12-31 21:04:17,全程懵逼，并且强忍着睡意一直以为会有精彩的结果是我想多了，而且不懂为什么中间开始要用3D完全没差啊,太原
临汾,"('',)",SPB129716910,2,0.5,2018-12-31 21:04:16,不好看真的不好看,临汾
株洲,"('',)",HgP258441542,3,0.5,2018-12-31 21:04:10,地方口音就算了，一个个说话还死气沉沉的。,株洲
福州,"(2,)",Sycamore.,2,0.5,2018-12-31 21:04:09,卖得片名。。,福州
合肥,"(2,)",豆豆,2,0.5,2018-12-31 21:04:09,烂片，完全没有任何好看的地方,合肥
