公司全名,公司规模,职位名称,薪资水平,工作经验,学历要求,区域,职位福利
Face++,500-2000人,测试开发架构师,30k-60k,5-10年,本科,海淀区,"扁平管理,牛人团队,AI独角兽"
汽车之家,2000人以上,高级测试开发工程师,20k-30k,3-5年,本科,海淀区,"发展空间大,团队氛围好"
车和家,2000人以上,测试开发工程师,10k-20k,1-3年,本科,朝阳区,"六险一金,扁平化管理"
K2DATA,50-150人,软件测试开发工程师,8k-16k,1-3年,本科,海淀区,"带薪年假,行业风头,精英团队"
作业帮,2000人以上,高级测试开发工程师,18k-30k,3-5年,本科,海淀区,"大平台,好机会,带人,技术带头人"
动力畅想,500-2000人,测试开发工程师,25K-40K,3-5年,本科,朝阳区,"发展空间大,不加班,弹性工作制,有大牛"
阿里巴巴-高德,2000人以上,测试开发专家,30k-50k,5-10年,本科,朝阳区,福利待遇、发展前景
智融集团,150-500人,高级测试开发工程师,20k-40k,3-5年,本科,海淀区,"优秀团队,成长空间大,人工智能,工作居住证"
猿辅导,500-2000人,测试开发工程师-辅导研发部,20k-30k,3-5年,本科,朝阳区,弹性工作、五一9天假、年度出国游
贝壳金服,500-2000人,00192-资深测试开发工程师,18k-28k,3-5年,本科,朝阳区,五险一金等
字节跳动,2000人以上,资深测试开发工程师,30k-50k,不限,本科,海淀区,六险一金，弹性工作，免费三餐，餐补
美团点评,2000人以上,新零售-高级测试开发工程师-服务端,25k-45k,3-5年,本科,朝阳区,"技术沉淀快,双休,上班弹性"
蚂蚁金服集团,2000人以上,测试开发工程师/专家-P6/P7-蚂蚁金服财富,25k-50k,3-5年,本科,朝阳区,"顶尖团队,核心业务,氛围浓厚,成长晋升快"
惠金所,150-500人,测试开发工程师,15k-25k,3-5年,本科,海淀区,六险一金 弹性工作 氛围好
搜狐集团,2000人以上,测试开发工程师,15k-25k,1-3年,本科,海淀区,大数据量业务 上市公司
滴滴出行,2000人以上,服务端测试开发工程师(J181115003),23k-35k,3-5年,本科,海淀区,国际化业务 重点职位 成长快
作业帮,2000人以上,流媒体测试开发工程师,15k-30k,3-5年,本科,海淀区,福利待遇好，发展潜力好，团队氛围好
阿里文娱,2000人以上,阿里文娱-测试开发专家,25k-35k,3-5年,硕士,朝阳区,团队靠谱
DERA,50-150人,测试开发工程师,10k-20k,不限,本科,昌平区,"专业,舒适,扁平,有竞争力"
合思咨询,150-500人,资深测试开发工程师,30k-60k,5-10年,本科,海淀区,新业务 发展空间大 薪资福利好
京东集团,2000人以上,视频云测试开发工程师,15k-30k,5-10年,本科,朝阳区,"周末双休,五险一金,免费班车,餐补"
闲徕互娱,500-2000人,测试开发工程师,15k-30k,3-5年,本科,朝阳区,"六险一金,绩效奖金,健身房,体检/旅游"
商汤科技,2000人以上,自动化测试开发工程师,15k-30k,5-10年,本科,海淀区,"人工智能,独角兽企业,技术大牛多,工作氛围好"
便利蜂,2000人以上,测试开发工程师,15k-30k,1-3年,本科,朝阳区,"测试,测试开发"
北京十一贝科技有限公司,150-500人,测试开发工程师,15k-30k,1-3年,本科,海淀区,"发展空间大,免费三餐,晋升空间大,带薪休假"
字节跳动,2000人以上,测试开发实习生-核心广告系统,4k-8k,应届毕业生,本科,海淀区,"免费三餐,租房补贴,休闲下午茶,扁平管理"
美团点评,2000人以上,测试开发-无人配送,20k-40k,3-5年,本科,朝阳区,免费班车
搜狐集团,2000人以上,高级测试开发工程师,17k-30k,3-5年,本科,海淀区,"待遇好,薪酬高,带薪年假,大牛多"
作业帮,2000人以上,测试开发工程师,10K-20K,1-3年,本科,海淀区,"大牛多,领导好,技术强,扁平管理"
北京十一贝科技有限公司,150-500人,测试开发实习生,6k-8k,不限,本科,海淀区,"免费三餐,晋升空间大,带薪休假"
更美APP,150-500人,测试开发工程师,10k-20k,3-5年,本科,朝阳区,"行业TOP,14薪,氛围好"
小米,2000人以上,测试开发工程师,15k-30k,不限,本科,海淀区,优秀的团队
